,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,n_pgs,max_legs
0,0.65625,0.25,55,160,60,80,4,4,0,0.7674648761749268,fully_connected,divide_fast,16,3
1,0.6375,0.1875,88,160,65,80,4,4,0,2.10648512840271,fully_connected,pauli_opt,16,3
2,0.7375,-2.4,42,160,272,80,4,4,0,0.0989232063293457,fully_connected,pyzx,16,3
3,0.575,-0.5625,68,160,125,80,4,4,0,0.01265263557434082,fully_connected,tket,16,3
4,0.611764705882353,0.1875,66,170,65,80,4,5,0,0.04834890365600586,fully_connected,divide_fast,16,3
5,0.7176470588235294,0.1875,58,170,65,80,4,5,0,2.418785572052002,fully_connected,pauli_opt,16,3
6,0.8117647058823529,-2.3125,32,170,265,80,4,5,0,0.0489811897277832,fully_connected,pyzx,16,3
7,0.4764705882352941,-1.9125,89,170,233,80,4,5,0,0.012067079544067383,fully_connected,tket,16,3
8,0.4090909090909091,0.1875,130,220,65,80,4,4,0,0.05190706253051758,line,divide_fast,16,3
9,0.7454545454545455,0.0625,66,220,75,80,4,4,20,2.1360480785369873,line,pauli_opt,16,3
10,0.6590909090909091,-3.5,75,220,360,80,4,4,52,0.04253888130187988,line,pyzx,16,3
11,0.07727272727272727,-2.2875,203,220,263,80,4,4,0,0.024588823318481445,line,tket,16,3
12,0.5636363636363636,0.0625,144,330,75,80,4,5,0,0.058806657791137695,line,divide_fast,16,3
13,0.4909090909090909,-0.125,218,330,90,80,4,5,0,2.7595627307891846,line,pauli_opt,16,3
14,0.296969696969697,-6.8,232,330,624,80,4,5,151,0.06450843811035156,line,pyzx,16,3
15,0.18181818181818182,-2.0875,270,330,247,80,4,5,166,0.025707483291625977,line,tket,16,3
16,0.3888888888888889,0.0,110,180,80,80,4,4,0,0.05442237854003906,square,divide_fast,16,3
17,0.5777777777777777,0.0,126,180,80,80,4,4,0,2.1444060802459717,square,pauli_opt,16,3
18,0.48333333333333334,-3.6375,93,180,371,80,4,4,0,0.05823945999145508,square,pyzx,16,3
19,0.49444444444444446,-0.8125,91,180,145,80,4,4,0,0.014249324798583984,square,tket,16,3
20,0.4117647058823529,0.1875,100,170,65,80,4,5,0,0.053200483322143555,square,divide_fast,16,3
21,0.49411764705882355,0.0625,106,170,75,80,4,5,0,2.267982244491577,square,pauli_opt,16,3
22,0.14705882352941177,-6.6875,145,170,615,80,4,5,77,0.06903719902038574,square,pyzx,16,3
23,0.29411764705882354,-1.875,120,170,230,80,4,5,0,0.022828102111816406,square,tket,16,3
24,0.59,0.125,82,200,70,80,4,4,0,0.05208468437194824,fully_connected,divide_fast,16,4
25,0.72,0.0,126,200,80,80,4,4,0,2.2622315883636475,fully_connected,pauli_opt,16,4
26,0.765,-3.5,47,200,360,80,4,4,0,0.05721020698547363,fully_connected,pyzx,16,4
27,0.55,-2.4,90,200,272,80,4,4,0,0.016260862350463867,fully_connected,tket,16,4
28,0.575,0.0,102,240,80,80,4,5,0,0.05543780326843262,fully_connected,divide_fast,16,4
29,0.625,0.0,90,240,80,80,4,5,0,2.646733283996582,fully_connected,pauli_opt,16,4
30,0.5666666666666667,-7.325,104,240,666,80,4,5,0,0.08385729789733887,fully_connected,pyzx,16,4
31,0.3458333333333333,-3.475,157,240,358,80,4,5,0,0.021419763565063477,fully_connected,tket,16,4
32,0.6,0.3125,100,250,55,80,4,4,0,0.04709196090698242,line,divide_fast,16,4
33,0.856,0.25,66,250,60,80,4,4,0,1.9238989353179932,line,pauli_opt,16,4
34,0.78,-1.675,55,250,214,80,4,4,33,0.0398862361907959,line,pyzx,16,4
35,0.772,-0.725,57,250,138,80,4,4,18,0.008862018585205078,line,tket,16,4
36,0.6296296296296297,0.3125,100,270,55,80,4,5,0,0.043302059173583984,line,divide_fast,16,4
37,0.8222222222222222,0.1875,88,270,65,80,4,5,0,2.356652021408081,line,pauli_opt,16,4
38,0.8481481481481481,-2.95,41,270,316,80,4,5,20,0.03780245780944824,line,pyzx,16,4
39,0.5592592592592592,-1.65,119,270,212,80,4,5,0,0.015864849090576172,line,tket,16,4
40,0.8171428571428572,0.375,64,350,50,80,4,4,0,0.03875255584716797,square,divide_fast,16,4
41,0.8342857142857143,0.25,88,350,60,80,4,4,0,2.140057325363159,square,pauli_opt,16,4
42,0.7057142857142857,-3.7125,103,350,377,80,4,4,0,0.05619454383850098,square,pyzx,16,4
43,0.6342857142857142,-2.1125,128,350,249,80,4,4,0,0.022463321685791016,square,tket,16,4
44,0.6206896551724138,0.125,110,290,70,80,4,5,0,0.053131103515625,square,divide_fast,16,4
45,0.5241379310344828,0.125,148,290,70,80,4,5,0,2.4163668155670166,square,pauli_opt,16,4
46,0.5137931034482759,-4.5,141,290,440,80,4,5,68,0.08085346221923828,square,pyzx,16,4
47,0.41379310344827586,-2.125,170,290,250,80,4,5,77,0.028664112091064453,square,tket,16,4
48,0.6342857142857142,0.375,128,350,100,160,4,4,0,0.07741379737854004,fully_connected,divide_fast,32,3
49,0.6057142857142858,0.28125,188,350,115,160,4,4,0,2.913562774658203,fully_connected,pauli_opt,32,3
50,0.7028571428571428,-2.325,104,350,532,160,4,4,0,0.09751629829406738,fully_connected,pyzx,32,3
51,0.54,-1.90625,161,350,465,160,4,4,0,0.022255420684814453,fully_connected,tket,32,3
52,0.47435897435897434,0.0625,205,390,150,160,4,5,0,0.1112217903137207,fully_connected,divide_fast,32,3
53,0.4717948717948718,0.0625,246,390,150,160,4,5,0,2.9195542335510254,fully_connected,pauli_opt,32,3
54,0.6256410256410256,-5.41875,146,390,1027,160,4,5,0,0.13654732704162598,fully_connected,pyzx,32,3
55,0.2564102564102564,-3.7875,290,390,766,160,4,5,0,0.03980708122253418,fully_connected,tket,32,3
56,0.49795918367346936,0.21875,246,490,125,160,4,4,0,0.10544967651367188,line,divide_fast,32,3
57,0.2938775510204082,0.1875,216,490,130,160,4,4,50,2.9276230335235596,line,pauli_opt,32,3
58,0.1816326530612245,-7.175,401,490,1308,160,4,4,237,0.12642645835876465,line,pyzx,32,3
59,-0.036734693877551024,-3.475,508,490,716,160,4,4,325,0.0558781623840332,line,tket,32,3
60,0.575925925925926,0.21875,229,540,125,160,4,5,0,0.10627889633178711,line,divide_fast,32,3
61,0.4444444444444444,0.125,240,540,140,160,4,5,60,3.2928924560546875,line,pauli_opt,32,3
62,0.3907407407407407,-5.29375,329,540,1007,160,4,5,217,0.12926220893859863,line,pyzx,32,3
63,0.25925925925925924,-2.2875,400,540,526,160,4,5,270,0.04415392875671387,line,tket,32,3
64,0.5630434782608695,0.25,201,460,120,160,4,4,0,0.10183978080749512,square,divide_fast,32,3
65,0.6173913043478261,0.25,196,460,120,160,4,4,0,2.4967727661132812,square,pauli_opt,32,3
66,0.5934782608695652,-3.8875,187,460,782,160,4,4,87,0.11037731170654297,square,pyzx,32,3
67,0.29782608695652174,-2.24375,323,460,519,160,4,4,0,0.062288761138916016,square,tket,32,3
68,0.5210526315789473,0.28125,182,380,115,160,4,5,0,0.10065960884094238,square,divide_fast,32,3
69,0.5052631578947369,0.125,208,380,140,160,4,5,10,3.1750454902648926,square,pauli_opt,32,3
70,0.35526315789473684,-4.6,245,380,896,160,4,5,114,0.12104606628417969,square,pyzx,32,3
71,0.42894736842105263,-2.94375,217,380,631,160,4,5,0,0.04529762268066406,square,tket,32,3
72,0.7520833333333333,0.375,119,480,100,160,4,4,0,0.07857489585876465,fully_connected,divide_fast,32,4
73,0.625,0.28125,260,480,115,160,4,4,0,2.897134304046631,fully_connected,pauli_opt,32,4
74,0.7479166666666667,-3.24375,121,480,679,160,4,4,0,0.09890007972717285,fully_connected,pyzx,32,4
75,0.5979166666666667,-1.75625,193,480,441,160,4,4,0,0.025532007217407227,fully_connected,tket,32,4
76,0.7865384615384615,0.34375,111,520,105,160,4,5,0,0.08168649673461914,fully_connected,divide_fast,32,4
77,0.7923076923076923,0.34375,138,520,105,160,4,5,0,3.015763998031616,fully_connected,pauli_opt,32,4
78,0.7923076923076923,-3.725,108,520,756,160,4,5,0,0.08874106407165527,fully_connected,pyzx,32,4
79,0.6961538461538461,-1.45625,158,520,393,160,4,5,0,0.023392915725708008,fully_connected,tket,32,4
80,0.6126760563380281,0.3125,275,710,110,160,4,4,0,0.0948798656463623,line,divide_fast,32,4
81,0.647887323943662,0.21875,210,710,125,160,4,4,20,3.156453847885132,line,pauli_opt,32,4
82,0.5859154929577465,-4.7,294,710,912,160,4,4,0,0.11256074905395508,line,pyzx,32,4
83,0.34788732394366195,-2.8125,463,710,610,160,4,4,298,0.04938364028930664,line,tket,32,4
84,0.5385714285714286,0.15625,323,700,135,160,4,5,0,0.11696481704711914,line,divide_fast,32,4
85,0.3171428571428571,0.0625,288,700,150,160,4,5,80,2.958376884460449,line,pauli_opt,32,4
86,0.4357142857142857,-4.725,395,700,916,160,4,5,151,0.1546001434326172,line,pyzx,32,4
87,0.2714285714285714,-3.9,510,700,784,160,4,5,317,0.052857160568237305,line,tket,32,4
88,0.632,0.28125,184,500,115,160,4,4,0,0.09657621383666992,square,divide_fast,32,4
89,0.6,0.125,250,500,140,160,4,4,20,3.434851884841919,square,pauli_opt,32,4
90,0.562,-3.275,219,500,684,160,4,4,111,0.15004181861877441,square,pyzx,32,4
91,0.444,-2.49375,278,500,559,160,4,4,167,0.052326202392578125,square,tket,32,4
92,0.6825396825396826,0.3125,200,630,110,160,4,5,0,0.18659710884094238,square,divide_fast,32,4
93,0.6285714285714286,0.28125,244,630,115,160,4,5,0,2.810580253601074,square,pauli_opt,32,4
94,0.6444444444444445,-4.64375,224,630,903,160,4,5,120,0.13300228118896484,square,pyzx,32,4
95,0.4380952380952381,-2.23125,354,630,517,160,4,5,0,0.06900691986083984,square,tket,32,4
96,0.43846153846153846,0.21875,365,650,250,320,4,4,0,0.215897798538208,fully_connected,divide_fast,64,3
97,0.30153846153846153,0.21875,454,650,250,320,4,4,0,4.008570432662964,fully_connected,pauli_opt,64,3
98,0.5953846153846154,-4.39375,263,650,1726,320,4,4,0,0.21493816375732422,fully_connected,pyzx,64,3
99,0.2969230769230769,-3.315625,457,650,1381,320,4,4,0,0.06593155860900879,fully_connected,tket,64,3
100,0.5714285714285714,0.234375,300,700,245,320,4,5,0,0.21291422843933105,fully_connected,divide_fast,64,3
101,0.42857142857142855,0.1875,470,700,260,320,4,5,0,4.5512988567352295,fully_connected,pauli_opt,64,3
102,0.6642857142857143,-4.903125,235,700,1889,320,4,5,0,0.21382617950439453,fully_connected,pyzx,64,3
103,0.24285714285714285,-2.546875,530,700,1135,320,4,5,0,0.06958794593811035,fully_connected,tket,64,3
104,0.5266666666666666,0.234375,497,1050,245,320,4,4,0,0.22833585739135742,line,divide_fast,64,3
105,0.35619047619047617,0.234375,476,1050,245,320,4,4,110,3.8241076469421387,line,pauli_opt,64,3
106,0.3028571428571429,-5.10625,732,1050,1954,320,4,4,276,0.21429657936096191,line,pyzx,64,3
107,-0.0038095238095238095,-2.978125,1054,1050,1273,320,4,4,0,0.10905718803405762,line,tket,64,3
108,0.7022556390977444,0.375,396,1330,200,320,4,5,0,0.17647671699523926,line,divide_fast,64,3
109,0.5082706766917293,0.296875,454,1330,225,320,4,5,110,3.3306467533111572,line,pauli_opt,64,3
110,0.6849624060150376,-2.36875,419,1330,1078,320,4,5,119,0.2659268379211426,line,pyzx,64,3
111,0.5511278195488721,-1.290625,597,1330,733,320,4,5,201,0.05976581573486328,line,tket,64,3
112,0.5,0.328125,410,820,215,320,4,4,0,0.18930625915527344,square,divide_fast,64,3
113,0.3170731707317073,0.28125,480,820,230,320,4,4,40,3.2514545917510986,square,pauli_opt,64,3
114,0.45121951219512196,-4.1,450,820,1632,320,4,4,228,0.24474453926086426,square,pyzx,64,3
115,0.22682926829268293,-2.1125,634,820,996,320,4,4,0,0.11639237403869629,square,tket,64,3
